DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/special/cython_special.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615778.7493992
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/internals/array_manager.py first seen with mtime 1712615788.9251528
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/_lib/array_api_compat/__init__.py first seen with mtime 1712615778.5254047
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/db/backends/base/operations.py first seen with mtime 1714935127.4899638
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/httpcore/__init__.py first seen with mtime 1712615784.581258
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/sparse/linalg/_special_sparse_arrays.py first seen with mtime 1712615779.0173929
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/contrib/auth/backends.py first seen with mtime 1714935127.2699528
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/importlib/resources.py first seen with mtime 1688584060.0091522
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/spatial/_geometric_slerp.py first seen with mtime 1712615778.225412
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/aniso8601/compat.py first seen with mtime 1714204961.5545242
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/numpy/lib/shape_base.py first seen with mtime 1712615772.5695488
DEBUG 2024-05-25 17:35:12,045 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pydantic/main.py first seen with mtime 1712615788.1531715
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pydantic_core/_pydantic_core.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615783.6892796
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/hashlib.py first seen with mtime 1688584059.1251616
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sentry_sdk/integrations/django/templates.py first seen with mtime 1716656099.1522427
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/arrays/string_.py first seen with mtime 1712615788.9211528
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sentry_sdk/attachments.py first seen with mtime 1716656099.1402423
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sklearn/utils/_metadata_requests.py first seen with mtime 1712615785.6332326
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/graphene/types/objecttype.py first seen with mtime 1714204963.8385172
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/lib-dynload/grp.cpython-310-x86_64-linux-gnu.so first seen with mtime 1688584075.688981
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/shortcuts.py first seen with mtime 1714935127.117945
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/graphql_relay/__init__.py first seen with mtime 1714204963.7145176
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/jinja2/optimizer.py first seen with mtime 1712615783.7692776
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/optimize/_direct.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615779.089391
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/optimize/_shgo_lib/_complex.py first seen with mtime 1712615779.1653893
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sklearn/linear_model/_linear_loss.py first seen with mtime 1712615785.4412372
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/io/sas/__init__.py first seen with mtime 1712615788.541162
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/optimize/_linprog_highs.py first seen with mtime 1712615779.089391
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/array_algos/replace.py first seen with mtime 1712615788.9091532
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/graphql/utilities/__init__.py first seen with mtime 1714204962.91052
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sklearn/linear_model/_cd_fast.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615785.4492369
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sqlalchemy/util/deprecations.py first seen with mtime 1714204963.0225198
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sqlparse/tokens.py first seen with mtime 1714204961.686524
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/internals/construction.py first seen with mtime 1712615788.9251528
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/linalg/lapack.py first seen with mtime 1712615778.845397
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/wsgiref/headers.py first seen with mtime 1688584060.3891482
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/joblib/externals/loky/backend/queues.py first seen with mtime 1712615775.7974708
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1714935127.297954
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/tornado/log.py first seen with mtime 1712615769.5256226
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/base64.py first seen with mtime 1688584059.0651624
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/db/transaction.py first seen with mtime 1714935127.4859636
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/sparse/_csparsetools.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615778.933395
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pygments/plugin.py first seen with mtime 1712615770.4655998
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/constants/constants.py first seen with mtime 1712615778.553404
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/graphql/graphql.py first seen with mtime 1714204962.9065201
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/template/backends/django.py first seen with mtime 1714935127.5179653
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/sparse/_coo.py first seen with mtime 1712615778.9813936
DEBUG 2024-05-25 17:35:12,046 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/numpy/lib/utils.py first seen with mtime 1712615772.5615492
DEBUG 2024-05-25 17:35:12,047 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/jinja2/idtracking.py first seen with mtime 1712615783.7652779
DEBUG 2024-05-25 17:35:12,047 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/sparse/base.py first seen with mtime 1712615778.9373946
DEBUG 2024-05-25 17:35:12,047 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/templatetags/l10n.py first seen with mtime 1714935127.5179653
